SM编号,X坐标,Y坐标,分幅索引号,用户编号,几何大小,点名,描述,图片,音频,视频,数据集名称,对象编号,排序ID,纬度,经度,高程,东坐标,北坐标,高度,HDOP,VDOP,PDOP,HRMS,VRMS,时间,方向,速度,卫星数,卫星状态
1,-90704.86394216225,3875237.637629816,1,0,16,钟楼广场南侧枫树,0,PH_20220519141425-90704-51-5038752373815@260@-54@-1@.jpg,,,点,1,0,34.83352333333333,113.54715833333333,104.2,0.0,0.0,0.0,0.88,1.08,1.39,0.0,0.0,2022/05/19 14:14:16,184.22,0.0,0,1
2,-90554.67629950156,3875382.1970580746,1,0,16,C02N216宿舍阳台,0,PH_20220520230646-90554-40-3438753821149@013@-20@-4@.jpg,,,点,2,0,34.834905,113.54868833333333,168.5,0.0,0.0,0.0,4.12,1.0,4.24,0.0,0.0,2022/05/20 23:05:38,268.04,0.0,0,1
