G120,,441523.148,2565564.856,1253.162
G121,,441534.497,2565561.221,1253.332
G122,,441545.416,2565555.569,1253.151
G123,,441527.019,2565548.533,1254.395
G124,,441520.546,2565548.710,1254.543
G125,,441457.951,2565560.236,1255.109
G126,,441453.973,2565554.846,1255.081
G127,,441451.962,2565549.384,1255.003
G128,,441451.918,2565543.223,1254.900
G129,,441451.233,2565536.170,1254.707
G130,,441446.398,2565530.843,1254.534
G131,,441439.857,2565526.759,1254.512
G132,,441430.386,2565524.232,1254.524
G133,,441419.796,2565522.147,1254.519
G134,,441409.287,2565520.183,1254.527
G135,,441398.865,2565518.269,1254.558
G136,,441390.516,2565516.699,1254.566
G137,,441385.033,2565515.603,1254.593
G138,,441386.031,2565517.351,1254.557
G139,,441393.330,2565522.851,1254.638
G140,,441406.507,2565524.870,1254.630
G141,,441421.148,2565528.112,1254.671
G142,,441472.987,2565572.143,1255.134
G143,,441450.938,2565567.472,1255.328
G144,,441433.958,2565565.486,1254.936
G145,,441438.882,2565546.078,1254.962
G146,,441431.457,2565533.954,1254.738
G147,,441468.615,2565544.078,1254.762
G148,,441471.606,2565519.512,1254.750
G149,,441490.964,2565512.171,1254.680
G150,,441529.757,2565558.152,1253.225
G151,,441551.894,2565562.178,1254.226
G152,,441567.749,2565573.744,1256.139
G153,,441577.264,2565590.469,1254.253
G154,,441560.584,2565610.452,1246.199
G155,,441528.550,2565616.139,1227.392
G156,,441531.442,2565608.239,1231.951
G157,,441527.978,2565597.540,1235.737
G158,,441525.970,2565587.647,1238.458
G159,,441535.880,2565578.379,1243.417
G160,,441538.003,2565574.442,1245.373
G161,,441542.805,2565573.188,1247.564
G162,,441547.673,2565573.390,1249.665
G163,,441552.386,2565572.762,1252.044
G164,,441553.995,2565570.320,1253.359
G165,,441551.563,2565566.636,1253.332
G166,,441545.833,2565558.752,1252.494
G167,,441556.586,2565556.367,1254.570
G168,,441563.520,2565545.981,1254.496
G169,,441586.445,2565529.388,1254.489
G170,,441595.347,2565517.128,1254.489
G171,,441605.346,2565525.411,1254.487
G172,,441610.545,2565532.865,1254.594
G173,,441613.634,2565539.556,1254.534
G174,,441619.591,2565536.398,1252.633
G175,,441626.316,2565521.516,1252.709
G176,,441612.114,2565506.588,1254.873
G177,,441607.225,2565498.096,1254.983
G178,,441598.495,2565500.311,1254.861
G179,,441622.600,2565491.367,1255.099
G180,,441629.549,2565481.339,1255.374
G181,,441634.497,2565470.588,1255.067
G182,,441639.035,2565459.934,1254.380
G183,,441640.587,2565452.765,1254.717
G184,,441641.423,2565443.887,1254.586
G185,,441640.594,2565436.101,1254.498
G186,,441636.707,2565425.330,1254.471
G187,,441631.844,2565413.905,1254.910
G188,,441627.718,2565406.298,1255.566
G189,,441617.567,2565401.456,1254.784
G190,,441405.667,2565595.687,1256.724
G191,,441391.917,2565595.263,1257.765
G192,,441382.299,2565593.945,1259.792
G193,,441372.886,2565590.955,1260.848
G194,,441372.909,2565599.614,1260.720
G195,,441381.648,2565597.321,1259.284
G196,,441385.337,2565598.746,1258.795
G197,,441390.559,2565599.460,1257.901
G198,,441396.000,2565599.900,1257.765
G199,,441402.293,2565599.174,1257.547
G200,,441412.414,2565597.098,1256.309
